,City,Population (2011)[3],Population (2001)[3][a],State or union territory,Reference
0,Mumbai,12442373,11978450,Maharashtra,[3]
1,Delhi,11034555,9879172,Delhi,[3]
2,Bangalore,8443675,5682293,Karnataka,[3]
3,Hyderabad,6993262,5496960,Telangana,[3]
4,Ahmedabad,5577940,4470006,Gujarat,[3]
5,Chennai,4646732,4343645,Tamil Nadu,[3]
6,Kolkata,4496694,4580546,West Bengal,[3]
7,Surat,4467797,2788126,Gujarat,[3]
8,Pune,3124458,2538473,Maharashtra,[3]
9,Jaipur,3046163,2322575,Rajasthan,[3]
10,Lucknow,2817105,2185927,Uttar Pradesh,[3]
11,Kanpur,2765348,2551337,Uttar Pradesh,[3]
12,Nagpur,2405665,2052066,Maharashtra,[3]
13,Indore,1964086,1503237,Madhya Pradesh,[3]
14,Thane,1841488,1262551,Maharashtra,[3]
15,Bhopal,1798218,1458416,Madhya Pradesh,[3]
16,Visakhapatnam,1728128,1345938,Andhra Pradesh,[3][b]
17,Pimpri-Chinchwad,1727692,1020448,Maharashtra,[3]
18,Patna,1684222,1431477,Bihar,[3]
19,Vadodara,1670806,1338244,Gujarat,[3]
20,Ghaziabad,1648643,968256,Uttar Pradesh,[3]
21,Ludhiana,1618879,1398467,Punjab,[3]
22,Agra,1585704,1275134,Uttar Pradesh,[3]
23,Nashik,1486053,1077236,Maharashtra,[3]
24,Faridabad,1414050,1055938,Haryana,[3]
25,Meerut,1305429,1068772,Uttar Pradesh,[3]
26,Rajkot,1286678,967476,Gujarat,[3]
27,Kalyan-Dombivali,1247327,1193512,Maharashtra,[3]
28,Vasai-Virar,1222390,518601,Maharashtra,[3]
29,Varanasi,1198491,1103952,Uttar Pradesh,[3]
30,Srinagar,1180570,935764,Jammu and Kashmir,[3]
31,Aurangabad,1175116,873311,Maharashtra,[3]
32,Dhanbad,1162472,1031523,Jharkhand,[3]
33,Amritsar,1132383,979801,Punjab,[3]
34,Navi Mumbai,1120547,704002,Maharashtra,[3]
35,Prayagraj,1112544,975393,Uttar Pradesh,[3]
36,Howrah,1077075,1007532,West Bengal,[3]
37,Ranchi,1073427,847093,Jharkhand,[3]
38,Jabalpur,1055525,951472,Madhya Pradesh,[3]
39,Gwalior,1054420,827026,Madhya Pradesh,[3]
40,Coimbatore,1050721,930882,Tamil Nadu,[3]
41,Vijayawada,1034358,941760,Andhra Pradesh,[3]
42,Jodhpur,1033756,856525,Rajasthan,[3]
43,Madurai,1017865,928869,Tamil Nadu,[3]
44,Raipur,1010433,707469,Chhattisgarh,[3]
45,Kota,1001694,703150,Rajasthan,[3]
